_id,_labels,_start,_end,_type,score
,,5157,7347,SIMILAR_BY_RDP,0.24
,,5157,5614,SIMILAR_BY_RDP,0.23076923076923078
,,5157,6839,SIMILAR_BY_RDP,0.21428571428571427
,,5157,9471,SIMILAR_BY_RDP,0.2
,,5157,9945,SIMILAR_BY_RDP,0.1875
,,5157,7446,SIMILAR_BY_RDP,0.1724137931034483
,,5157,9340,SIMILAR_BY_RDP,0.17142857142857143
,,5157,7143,SIMILAR_BY_RDP,0.15384615384615385
,,5165,5398,SIMILAR_BY_RDP,0.2608695652173913
,,5165,8416,SIMILAR_BY_RDP,0.23076923076923078
,,5165,8829,SIMILAR_BY_RDP,0.22727272727272727
,,5165,9111,SIMILAR_BY_RDP,0.20833333333333334
,,5165,6195,SIMILAR_BY_RDP,0.20833333333333334
,,5165,5717,SIMILAR_BY_RDP,0.1935483870967742
,,5165,6417,SIMILAR_BY_RDP,0.19230769230769232
,,5165,9847,SIMILAR_BY_RDP,0.18604651162790697
,,5165,9877,SIMILAR_BY_RDP,0.18518518518518517
,,5165,9780,SIMILAR_BY_RDP,0.17857142857142858
,,5181,9678,SIMILAR_BY_RDP,0.23076923076923078
,,5181,9727,SIMILAR_BY_RDP,0.125
,,5181,8510,SIMILAR_BY_RDP,0.125
,,5181,9242,SIMILAR_BY_RDP,0.125
,,5181,8387,SIMILAR_BY_RDP,0.125
,,5181,5817,SIMILAR_BY_RDP,0.12
,,5181,6879,SIMILAR_BY_RDP,0.11764705882352941
,,5181,5906,SIMILAR_BY_RDP,0.1111111111111111
,,5181,8767,SIMILAR_BY_RDP,0.1
,,5181,6469,SIMILAR_BY_RDP,0.1
,,5202,9293,SIMILAR_BY_RDP,0.28125
,,5202,9728,SIMILAR_BY_RDP,0.28125
,,5202,5524,SIMILAR_BY_RDP,0.28125
,,5202,7143,SIMILAR_BY_RDP,0.25
,,5202,8246,SIMILAR_BY_RDP,0.24324324324324326
,,5202,6792,SIMILAR_BY_RDP,0.21052631578947367
,,5202,9847,SIMILAR_BY_RDP,0.17647058823529413
,,5202,9156,SIMILAR_BY_RDP,0.15789473684210525
,,5202,9546,SIMILAR_BY_RDP,0.15384615384615385
,,5202,8398,SIMILAR_BY_RDP,0.14285714285714285
,,5232,7518,SIMILAR_BY_RDP,0.3225806451612903
,,5232,9388,SIMILAR_BY_RDP,0.3225806451612903
,,5232,5964,SIMILAR_BY_RDP,0.3225806451612903
,,5232,5688,SIMILAR_BY_RDP,0.3142857142857143
,,5232,6339,SIMILAR_BY_RDP,0.30303030303030304
,,5232,5347,SIMILAR_BY_RDP,0.29411764705882354
,,5232,6766,SIMILAR_BY_RDP,0.2857142857142857
,,5232,5106,SIMILAR_BY_RDP,0.2777777777777778
,,5232,9609,SIMILAR_BY_RDP,0.25
,,5232,7812,SIMILAR_BY_RDP,0.24390243902439024
,,5248,5408,SIMILAR_BY_RDP,0.4090909090909091
,,5248,9366,SIMILAR_BY_RDP,0.26666666666666666
,,5248,5882,SIMILAR_BY_RDP,0.2631578947368421
,,5248,6292,SIMILAR_BY_RDP,0.25
,,5248,8882,SIMILAR_BY_RDP,0.17647058823529413
,,5248,7994,SIMILAR_BY_RDP,0.16666666666666666
,,5248,6456,SIMILAR_BY_RDP,0.16
,,5248,8740,SIMILAR_BY_RDP,0.15789473684210525
,,5030,8177,SIMILAR_BY_RDP,0.20930232558139536
,,5030,5422,SIMILAR_BY_RDP,0.18181818181818182
,,5030,8362,SIMILAR_BY_RDP,0.175
,,5030,9654,SIMILAR_BY_RDP,0.17073170731707318
,,5030,9432,SIMILAR_BY_RDP,0.14634146341463414
,,5030,7945,SIMILAR_BY_RDP,0.13953488372093023
,,5030,5287,SIMILAR_BY_RDP,0.13157894736842105
,,5030,9994,SIMILAR_BY_RDP,0.1282051282051282
,,5030,7842,SIMILAR_BY_RDP,0.125
,,5030,6283,SIMILAR_BY_RDP,0.12244897959183673
,,5055,5402,SIMILAR_BY_RDP,0.2631578947368421
,,5055,8168,SIMILAR_BY_RDP,0.1935483870967742
,,5055,9609,SIMILAR_BY_RDP,0.1836734693877551
,,5055,6946,SIMILAR_BY_RDP,0.175
,,5055,5307,SIMILAR_BY_RDP,0.17142857142857143
,,5055,9211,SIMILAR_BY_RDP,0.16216216216216217
,,5055,5404,SIMILAR_BY_RDP,0.16216216216216217
,,5055,5232,SIMILAR_BY_RDP,0.15
,,5055,8438,SIMILAR_BY_RDP,0.14705882352941177
,,5055,8759,SIMILAR_BY_RDP,0.14634146341463414
,,5093,5782,SIMILAR_BY_RDP,0.24242424242424243
,,5093,9403,SIMILAR_BY_RDP,0.2222222222222222
,,5093,8931,SIMILAR_BY_RDP,0.18181818181818182
,,5093,9466,SIMILAR_BY_RDP,0.17857142857142858
,,5093,9876,SIMILAR_BY_RDP,0.15555555555555556
,,5093,8798,SIMILAR_BY_RDP,0.15
,,5093,8131,SIMILAR_BY_RDP,0.14705882352941177
,,5093,8726,SIMILAR_BY_RDP,0.13793103448275862
,,5093,7045,SIMILAR_BY_RDP,0.13513513513513514
,,5093,8738,SIMILAR_BY_RDP,0.13157894736842105
,,5106,7518,SIMILAR_BY_RDP,0.4411764705882353
,,5106,6339,SIMILAR_BY_RDP,0.4166666666666667
,,5106,7812,SIMILAR_BY_RDP,0.3111111111111111
,,5106,5688,SIMILAR_BY_RDP,0.2857142857142857
,,5106,5232,SIMILAR_BY_RDP,0.2777777777777778
,,5106,5347,SIMILAR_BY_RDP,0.2682926829268293
,,5106,6766,SIMILAR_BY_RDP,0.2619047619047619
,,5106,9388,SIMILAR_BY_RDP,0.2564102564102564
,,5106,5964,SIMILAR_BY_RDP,0.2564102564102564
,,5106,9113,SIMILAR_BY_RDP,0.23333333333333334
,,5139,8934,SIMILAR_BY_RDP,0.21428571428571427
,,5139,7728,SIMILAR_BY_RDP,0.21428571428571427
,,5139,9727,SIMILAR_BY_RDP,0.2
,,5139,9140,SIMILAR_BY_RDP,0.17857142857142858
,,5139,9033,SIMILAR_BY_RDP,0.16666666666666666
,,5139,5485,SIMILAR_BY_RDP,0.15789473684210525
,,5139,8322,SIMILAR_BY_RDP,0.15
,,5139,7424,SIMILAR_BY_RDP,0.14285714285714285
,,5139,6366,SIMILAR_BY_RDP,0.13333333333333333
,,5139,6255,SIMILAR_BY_RDP,0.13333333333333333
,,5140,7347,SIMILAR_BY_RDP,0.1724137931034483
,,5140,8119,SIMILAR_BY_RDP,0.16
,,5140,9184,SIMILAR_BY_RDP,0.14285714285714285
,,5140,9454,SIMILAR_BY_RDP,0.12903225806451613
,,5140,9820,SIMILAR_BY_RDP,0.12
,,5140,5305,SIMILAR_BY_RDP,0.11538461538461539
,,5140,5862,SIMILAR_BY_RDP,0.10714285714285714
,,5140,6942,SIMILAR_BY_RDP,0.10526315789473684
,,5140,6795,SIMILAR_BY_RDP,0.1
,,5140,6346,SIMILAR_BY_RDP,0.1
,,5153,8273,SIMILAR_BY_RDP,0.3333333333333333
,,5153,6313,SIMILAR_BY_RDP,0.10526315789473684
,,5153,6334,SIMILAR_BY_RDP,0.1
,,5153,7781,SIMILAR_BY_RDP,0.09523809523809523
,,5153,5157,SIMILAR_BY_RDP,0.09523809523809523
,,5153,8523,SIMILAR_BY_RDP,0.09090909090909091
,,5153,9471,SIMILAR_BY_RDP,0.08695652173913043
,,5153,6854,SIMILAR_BY_RDP,0.08333333333333333
,,5153,5408,SIMILAR_BY_RDP,0.07692307692307693
,,5153,7446,SIMILAR_BY_RDP,0.07407407407407407
,,5157,7300,SIMILAR_BY_RDP,0.3
,,5157,9859,SIMILAR_BY_RDP,0.24
,,5157,7347,SIMILAR_BY_RDP,0.24
,,6502,8960,SIMILAR_BY_RDP,0.09090909090909091
,,6502,5165,SIMILAR_BY_RDP,0.09090909090909091
,,6502,9124,SIMILAR_BY_RDP,0.08
,,6502,9745,SIMILAR_BY_RDP,0.07407407407407407
,,6531,6714,SIMILAR_BY_RDP,0.19230769230769232
,,6531,6366,SIMILAR_BY_RDP,0.15789473684210525
,,6531,7943,SIMILAR_BY_RDP,0.14285714285714285
,,6531,7883,SIMILAR_BY_RDP,0.13636363636363635
,,6531,9033,SIMILAR_BY_RDP,0.13043478260869565
,,6531,7370,SIMILAR_BY_RDP,0.12121212121212122
,,6531,7781,SIMILAR_BY_RDP,0.12
,,6531,8264,SIMILAR_BY_RDP,0.1111111111111111
,,6531,6456,SIMILAR_BY_RDP,0.10714285714285714
,,6531,6258,SIMILAR_BY_RDP,0.10714285714285714
,,6537,7435,SIMILAR_BY_RDP,0.14285714285714285
,,6537,5686,SIMILAR_BY_RDP,0.13793103448275862
,,6537,7994,SIMILAR_BY_RDP,0.10714285714285714
,,6537,9819,SIMILAR_BY_RDP,0.1
,,6537,8798,SIMILAR_BY_RDP,0.09090909090909091
,,6537,9650,SIMILAR_BY_RDP,0.09090909090909091
,,6537,8163,SIMILAR_BY_RDP,0.09090909090909091
,,6537,8280,SIMILAR_BY_RDP,0.08333333333333333
,,6537,5999,SIMILAR_BY_RDP,0.08
,,6537,8931,SIMILAR_BY_RDP,0.07407407407407407
,,6568,5378,SIMILAR_BY_RDP,0.2608695652173913
,,6568,8798,SIMILAR_BY_RDP,0.1935483870967742
,,6568,8137,SIMILAR_BY_RDP,0.17857142857142858
,,6568,9813,SIMILAR_BY_RDP,0.15384615384615385
,,6568,9873,SIMILAR_BY_RDP,0.14814814814814814
,,6568,9872,SIMILAR_BY_RDP,0.13793103448275862
,,6568,9003,SIMILAR_BY_RDP,0.13333333333333333
,,6568,5388,SIMILAR_BY_RDP,0.12121212121212122
,,6568,9960,SIMILAR_BY_RDP,0.11764705882352941
,,6568,9657,SIMILAR_BY_RDP,0.11764705882352941
,,6615,5690,SIMILAR_BY_RDP,0.2
,,6615,8738,SIMILAR_BY_RDP,0.17857142857142858
,,6615,7945,SIMILAR_BY_RDP,0.13333333333333333
,,6615,8333,SIMILAR_BY_RDP,0.13043478260869565
,,6615,6711,SIMILAR_BY_RDP,0.13043478260869565
,,6615,9452,SIMILAR_BY_RDP,0.125
,,6615,9889,SIMILAR_BY_RDP,0.12
,,6615,9514,SIMILAR_BY_RDP,0.11538461538461539
,,6615,8818,SIMILAR_BY_RDP,0.11538461538461539
,,6615,7644,SIMILAR_BY_RDP,0.1111111111111111
,,6630,10018,SIMILAR_BY_RDP,0.19047619047619047
,,6630,7373,SIMILAR_BY_RDP,0.17142857142857143
,,6630,9594,SIMILAR_BY_RDP,0.16
,,6630,7987,SIMILAR_BY_RDP,0.16
,,6630,7363,SIMILAR_BY_RDP,0.14285714285714285
,,6630,6807,SIMILAR_BY_RDP,0.13793103448275862
,,6630,8738,SIMILAR_BY_RDP,0.13333333333333333
,,6630,9787,SIMILAR_BY_RDP,0.12903225806451613
,,6630,8906,SIMILAR_BY_RDP,0.12903225806451613
,,6630,5402,SIMILAR_BY_RDP,0.12121212121212122
,,6655,6080,SIMILAR_BY_RDP,0.23529411764705882
,,6655,6078,SIMILAR_BY_RDP,0.23529411764705882
,,6655,5862,SIMILAR_BY_RDP,0.21052631578947367
,,6655,7080,SIMILAR_BY_RDP,0.18181818181818182
,,6655,6106,SIMILAR_BY_RDP,0.17391304347826086
,,6655,7627,SIMILAR_BY_RDP,0.16666666666666666
,,6655,9156,SIMILAR_BY_RDP,0.16
,,6655,10018,SIMILAR_BY_RDP,0.125
,,6655,8198,SIMILAR_BY_RDP,0.125
,,6655,7566,SIMILAR_BY_RDP,0.1111111111111111
,,6656,7945,SIMILAR_BY_RDP,0.21428571428571427
,,6656,9846,SIMILAR_BY_RDP,0.17391304347826086
,,6656,9960,SIMILAR_BY_RDP,0.15625
,,6656,6292,SIMILAR_BY_RDP,0.15151515151515152
,,6656,5624,SIMILAR_BY_RDP,0.14814814814814814
,,6656,9945,SIMILAR_BY_RDP,0.14705882352941177
,,6656,6405,SIMILAR_BY_RDP,0.14285714285714285
,,6656,9003,SIMILAR_BY_RDP,0.13793103448275862
,,6656,9500,SIMILAR_BY_RDP,0.13333333333333333
,,6656,8142,SIMILAR_BY_RDP,0.13333333333333333
,,6677,7832,SIMILAR_BY_RDP,0.2
,,6677,5547,SIMILAR_BY_RDP,0.18518518518518517
,,6677,7177,SIMILAR_BY_RDP,0.18181818181818182
,,6677,9273,SIMILAR_BY_RDP,0.16666666666666666
,,6677,9379,SIMILAR_BY_RDP,0.16666666666666666
,,6677,8838,SIMILAR_BY_RDP,0.16666666666666666
,,6677,5906,SIMILAR_BY_RDP,0.16
,,6677,9473,SIMILAR_BY_RDP,0.14814814814814814
,,6677,9436,SIMILAR_BY_RDP,0.14814814814814814
,,6677,8035,SIMILAR_BY_RDP,0.14814814814814814
,,6710,7644,SIMILAR_BY_RDP,0.25
,,6710,8137,SIMILAR_BY_RDP,0.23076923076923078
,,6710,9664,SIMILAR_BY_RDP,0.21428571428571427
,,6710,6714,SIMILAR_BY_RDP,0.18518518518518517
,,6710,9033,SIMILAR_BY_RDP,0.17391304347826086
,,6710,5485,SIMILAR_BY_RDP,0.16666666666666666
,,6710,9514,SIMILAR_BY_RDP,0.16
,,6710,8322,SIMILAR_BY_RDP,0.16
,,6710,9388,SIMILAR_BY_RDP,0.15625
,,6710,9140,SIMILAR_BY_RDP,0.14705882352941177
,,6711,5944,SIMILAR_BY_RDP,0.24
,,6711,6983,SIMILAR_BY_RDP,0.2
,,6711,8871,SIMILAR_BY_RDP,0.1875
,,6711,8163,SIMILAR_BY_RDP,0.17647058823529413
,,6711,5690,SIMILAR_BY_RDP,0.17647058823529413
,,6711,9866,SIMILAR_BY_RDP,0.15789473684210525
,,6711,8333,SIMILAR_BY_RDP,0.15789473684210525
,,6711,9452,SIMILAR_BY_RDP,0.15
,,6711,7987,SIMILAR_BY_RDP,0.14285714285714285
,,6711,8818,SIMILAR_BY_RDP,0.13636363636363635
,,6714,6531,SIMILAR_BY_RDP,0.19230769230769232
,,6714,6710,SIMILAR_BY_RDP,0.18518518518518517
,,6714,9846,SIMILAR_BY_RDP,0.16
,,6714,9873,SIMILAR_BY_RDP,0.14285714285714285
,,6714,7644,SIMILAR_BY_RDP,0.14285714285714285
,,6714,8137,SIMILAR_BY_RDP,0.13333333333333333
,,6714,9313,SIMILAR_BY_RDP,0.13333333333333333
,,6714,6348,SIMILAR_BY_RDP,0.13333333333333333
,,6714,8142,SIMILAR_BY_RDP,0.125
,,6714,7943,SIMILAR_BY_RDP,0.125
,,6766,5232,SIMILAR_BY_RDP,0.2857142857142857
,,6766,5347,SIMILAR_BY_RDP,0.275
,,6766,9609,SIMILAR_BY_RDP,0.26666666666666666
,,6766,9388,SIMILAR_BY_RDP,0.2631578947368421
,,6766,7518,SIMILAR_BY_RDP,0.2631578947368421
,,6766,5964,SIMILAR_BY_RDP,0.2631578947368421
,,6766,5106,SIMILAR_BY_RDP,0.2619047619047619
,,6766,6339,SIMILAR_BY_RDP,0.25
,,6766,5404,SIMILAR_BY_RDP,0.23529411764705882
,,6766,7812,SIMILAR_BY_RDP,0.23404255319148937
,,6792,9546,SIMILAR_BY_RDP,0.22857142857142856
,,6792,5202,SIMILAR_BY_RDP,0.21052631578947367
,,6792,7484,SIMILAR_BY_RDP,0.20588235294117646
,,6792,9933,SIMILAR_BY_RDP,0.16666666666666666
,,6792,9994,SIMILAR_BY_RDP,0.16129032258064516
,,6792,6043,SIMILAR_BY_RDP,0.15
,,6792,7812,SIMILAR_BY_RDP,0.14893617021276595
,,6792,9434,SIMILAR_BY_RDP,0.14705882352941177
,,6792,5524,SIMILAR_BY_RDP,0.14705882352941177
,,6792,8786,SIMILAR_BY_RDP,0.14285714285714285
,,6795,9707,SIMILAR_BY_RDP,0.18181818181818182
,,6795,9844,SIMILAR_BY_RDP,0.15384615384615385
,,6795,9999,SIMILAR_BY_RDP,0.13333333333333333
,,6795,5248,SIMILAR_BY_RDP,0.13333333333333333
,,6795,5398,SIMILAR_BY_RDP,0.11764705882352941
,,6795,8103,SIMILAR_BY_RDP,0.1111111111111111
,,6795,8302,SIMILAR_BY_RDP,0.10526315789473684
,,6795,6258,SIMILAR_BY_RDP,0.1
,,6795,5140,SIMILAR_BY_RDP,0.1
,,6795,8228,SIMILAR_BY_RDP,0.09090909090909091
,,6805,8932,SIMILAR_BY_RDP,0.2
,,6805,5449,SIMILAR_BY_RDP,0.17391304347826086
,,6805,8438,SIMILAR_BY_RDP,0.15
,,6805,7300,SIMILAR_BY_RDP,0.15
,,6805,5999,SIMILAR_BY_RDP,0.15
,,6805,7167,SIMILAR_BY_RDP,0.14285714285714285
,,6805,7510,SIMILAR_BY_RDP,0.13793103448275862
,,6805,6437,SIMILAR_BY_RDP,0.13793103448275862
,,6805,5826,SIMILAR_BY_RDP,0.13636363636363635
,,6805,5157,SIMILAR_BY_RDP,0.13636363636363635
,,6807,9432,SIMILAR_BY_RDP,0.21428571428571427
,,6807,7636,SIMILAR_BY_RDP,0.20833333333333334
,,6807,8738,SIMILAR_BY_RDP,0.20689655172413793
,,6807,9024,SIMILAR_BY_RDP,0.19230769230769232
,,6807,8906,SIMILAR_BY_RDP,0.16129032258064516
,,6807,9594,SIMILAR_BY_RDP,0.15384615384615385
,,6807,7882,SIMILAR_BY_RDP,0.13793103448275862
,,6807,7363,SIMILAR_BY_RDP,0.13793103448275862
,,6807,6630,SIMILAR_BY_RDP,0.13793103448275862
,,6807,9872,SIMILAR_BY_RDP,0.13333333333333333
,,6816,9151,SIMILAR_BY_RDP,0.09090909090909091
,,6816,9813,SIMILAR_BY_RDP,0.07142857142857142
,,6816,7941,SIMILAR_BY_RDP,0.0625
,,6816,5404,SIMILAR_BY_RDP,0.0625
,,6816,9293,SIMILAR_BY_RDP,0.058823529411764705
,,6816,9728,SIMILAR_BY_RDP,0.058823529411764705
,,6816,5524,SIMILAR_BY_RDP,0.058823529411764705
,,6816,7949,SIMILAR_BY_RDP,0.05555555555555555
,,6816,5944,SIMILAR_BY_RDP,0.05
,,6816,5675,SIMILAR_BY_RDP,0.047619047619047616
,,6821,9727,SIMILAR_BY_RDP,0.13333333333333333
,,6821,10018,SIMILAR_BY_RDP,0.13333333333333333
,,6821,5690,SIMILAR_BY_RDP,0.13333333333333333
,,6821,9866,SIMILAR_BY_RDP,0.11764705882352941
,,6821,8931,SIMILAR_BY_RDP,0.1
,,6821,6195,SIMILAR_BY_RDP,0.1
,,6821,9638,SIMILAR_BY_RDP,0.09090909090909091
,,6821,9211,SIMILAR_BY_RDP,0.09090909090909091
,,6821,8450,SIMILAR_BY_RDP,0.08695652173913043
,,6821,8416,SIMILAR_BY_RDP,0.08695652173913043
,,6826,8906,SIMILAR_BY_RDP,0.3333333333333333
,,6826,9113,SIMILAR_BY_RDP,0.22727272727272727
,,6826,5623,SIMILAR_BY_RDP,0.21739130434782608
,,6826,7993,SIMILAR_BY_RDP,0.18518518518518517
,,6826,7842,SIMILAR_BY_RDP,0.18518518518518517
,,6826,5614,SIMILAR_BY_RDP,0.16666666666666666
,,6826,9500,SIMILAR_BY_RDP,0.16129032258064516
,,6826,9531,SIMILAR_BY_RDP,0.15151515151515152
,,6826,7518,SIMILAR_BY_RDP,0.14705882352941177
,,6826,5422,SIMILAR_BY_RDP,0.14705882352941177
,,6839,7300,SIMILAR_BY_RDP,0.23076923076923078
,,6839,5157,SIMILAR_BY_RDP,0.21428571428571427
,,6839,7347,SIMILAR_BY_RDP,0.1935483870967742
,,6839,5614,SIMILAR_BY_RDP,0.1875
,,6839,7446,SIMILAR_BY_RDP,0.17647058823529413
,,6839,9945,SIMILAR_BY_RDP,0.15789473684210525
,,6839,9340,SIMILAR_BY_RDP,0.14634146341463414
,,6839,7143,SIMILAR_BY_RDP,0.13333333333333333
,,6839,5826,SIMILAR_BY_RDP,0.13333333333333333
,,6839,6942,SIMILAR_BY_RDP,0.125
,,6854,9124,SIMILAR_BY_RDP,0.25
,,6854,8333,SIMILAR_BY_RDP,0.16666666666666666
,,6854,7535,SIMILAR_BY_RDP,0.16129032258064516
,,6854,9514,SIMILAR_BY_RDP,0.14814814814814814
,,6854,8818,SIMILAR_BY_RDP,0.14814814814814814
,,6854,9242,SIMILAR_BY_RDP,0.13043478260869565
,,6854,5690,SIMILAR_BY_RDP,0.13043478260869565
,,6854,8738,SIMILAR_BY_RDP,0.12903225806451613
,,6854,7945,SIMILAR_BY_RDP,0.125
,,6854,6711,SIMILAR_BY_RDP,0.12
,,6857,9747,SIMILAR_BY_RDP,0.16666666666666666
,,6857,5925,SIMILAR_BY_RDP,0.14285714285714285
,,6857,8509,SIMILAR_BY_RDP,0.1111111111111111
,,6857,6437,SIMILAR_BY_RDP,0.1
,,6857,8829,SIMILAR_BY_RDP,0.09523809523809523
,,6857,9452,SIMILAR_BY_RDP,0.09523809523809523
,,6857,6364,SIMILAR_BY_RDP,0.09523809523809523
,,6857,6184,SIMILAR_BY_RDP,0.09090909090909091
,,6857,6057,SIMILAR_BY_RDP,0.09090909090909091
,,6857,5287,SIMILAR_BY_RDP,0.09090909090909091
,,6877,7477,SIMILAR_BY_RDP,0.14285714285714285
,,6877,9033,SIMILAR_BY_RDP,0.11538461538461539
,,4725,7081,HAS_SESSION,
,,6877,8523,SIMILAR_BY_RDP,0.10344827586206896
,,3,2951,ALLOWED_TO_DELEGATE,
,,6877,9432,SIMILAR_BY_RDP,0.0967741935483871
,,6877,9434,SIMILAR_BY_RDP,0.0967741935483871
,,6877,5524,SIMILAR_BY_RDP,0.0967741935483871
,,6877,8272,SIMILAR_BY_RDP,0.08695652173913043
,,6877,6792,SIMILAR_BY_RDP,0.08333333333333333
,,6877,8700,SIMILAR_BY_RDP,0.07692307692307693
,,6877,9815,SIMILAR_BY_RDP,0.07317073170731707
,,6879,8280,SIMILAR_BY_RDP,0.16666666666666666
,,6879,5307,SIMILAR_BY_RDP,0.14285714285714285
,,6879,9678,SIMILAR_BY_RDP,0.13333333333333333
,,6879,5449,SIMILAR_BY_RDP,0.13043478260869565
,,8587,6282,SIMILAR_BY_RDP,0.15384615384615385
